Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
wiki,317K_nodes_1M_edges,triangle,3,1,0.00380913,0.0166973,608389,3.64365e+07,4304,1.00,100.0
wiki,317K_nodes_1M_edges,triangle,3,2,0.000545875,0.0168089,608389,3.61944e+07,4224,.99,40.0
wiki,317K_nodes_1M_edges,triangle,3,4,0.000521708,0.0182279,608389,3.33768e+07,4240,.91,20.0
wiki,317K_nodes_1M_edges,triangle,3,8,0.000511792,0.0189505,608389,3.21041e+07,4256,.88,10.0
wiki,317K_nodes_1M_edges,triangle,3,16,0.000594375,0.0202201,608389,3.00883e+07,4224,.82,0
wiki,317K_nodes_1M_edges,4path,4,1,0.000605416,0.0195607,608389,3.11027e+07,4208,1.00,100.0
wiki,317K_nodes_1M_edges,4path,4,2,0.00071975,0.0191174,608389,3.18239e+07,4272,1.02,50.0
wiki,317K_nodes_1M_edges,4path,4,4,0.00058275,0.0193338,608389,3.14677e+07,4224,1.01,20.0
wiki,317K_nodes_1M_edges,4path,4,8,0.0006025,0.0181868,608389,3.34523e+07,4256,1.07,10.0
wiki,317K_nodes_1M_edges,4path,4,16,0.000620459,0.0210231,608389,2.89391e+07,4208,.93,0
wiki,317K_nodes_1M_edges,4cycle,4,1,0.000607209,0.0203689,608389,2.98685e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4cycle,4,2,0.00059075,0.0181961,608389,3.34351e+07,4192,1.11,50.0
wiki,317K_nodes_1M_edges,4cycle,4,4,0.000610625,0.0191597,608389,3.17536e+07,4304,1.06,20.0
wiki,317K_nodes_1M_edges,4cycle,4,8,0.000586333,0.0220195,608389,2.76296e+07,4256,.92,10.0
wiki,317K_nodes_1M_edges,4cycle,4,16,0.000733542,0.021186,608389,2.87166e+07,4352,.96,0
wiki,317K_nodes_1M_edges,4star,4,1,0.000688042,0.0195881,608389,3.10591e+07,4192,1.00,100.0
wiki,317K_nodes_1M_edges,4star,4,2,0.00115754,0.0224702,608389,2.70754e+07,4352,.87,40.0
wiki,317K_nodes_1M_edges,4star,4,4,0.000699167,0.0219621,608389,2.77017e+07,4208,.89,20.0
wiki,317K_nodes_1M_edges,4star,4,8,0.000869667,0.0216315,608389,2.81251e+07,4272,.90,10.0
wiki,317K_nodes_1M_edges,4star,4,16,0.000800791,0.0225094,608389,2.70282e+07,4352,.87,0
wiki,317K_nodes_1M_edges,4clique,4,1,0.000702792,0.0212465,608389,2.86348e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4clique,4,2,0.000698459,0.0229752,608389,2.64802e+07,4272,.92,40.0
wiki,317K_nodes_1M_edges,4clique,4,4,0.000889125,0.0249132,608389,2.44204e+07,4272,.85,20.0
wiki,317K_nodes_1M_edges,4clique,4,8,0.000838667,0.0211266,608389,2.87973e+07,4192,1.00,10.0
wiki,317K_nodes_1M_edges,4clique,4,16,0.000687542,0.0192114,608389,3.16681e+07,4304,1.10,0
wiki,317K_nodes_1M_edges,5clique,5,1,0.000708625,0.0215868,608389,2.81833e+07,4256,1.00,100.0
wiki,317K_nodes_1M_edges,5clique,5,2,0.000667167,0.0204946,608389,2.96854e+07,4160,1.05,50.0
wiki,317K_nodes_1M_edges,5clique,5,4,0.000690417,0.0277412,608389,2.19309e+07,4256,.77,10.0
wiki,317K_nodes_1M_edges,5clique,5,8,0.00070225,0.0214464,608389,2.83679e+07,4192,1.00,10.0
wiki,317K_nodes_1M_edges,5clique,5,16,0.000673958,0.0228905,608389,2.65782e+07,4224,.94,0
wiki,317K_nodes_1M_edges,house,4,1,0.000880958,0.0328945,608389,1.84952e+07,4208,1.00,100.0
wiki,317K_nodes_1M_edges,house,4,2,0.000942125,0.0286047,608389,2.12689e+07,4224,1.14,50.0
wiki,317K_nodes_1M_edges,house,4,4,0.0008615,0.0254522,608389,2.39032e+07,4272,1.29,30.0
wiki,317K_nodes_1M_edges,house,4,8,0.000838959,0.0212668,608389,2.86074e+07,4176,1.54,10.0
wiki,317K_nodes_1M_edges,house,4,16,0.000678333,0.0213392,608389,2.85104e+07,4224,1.54,0
wiki,317K_nodes_1M_edges,diamond,4,1,0.000688625,0.0205764,608389,2.95673e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,diamond,4,2,0.000849583,0.0252638,608389,2.40815e+07,4512,.81,40.0
wiki,317K_nodes_1M_edges,diamond,4,4,0.000687709,0.0237976,608389,2.55651e+07,4208,.86,20.0
wiki,317K_nodes_1M_edges,diamond,4,8,0.000829167,0.0206892,608389,2.94062e+07,4176,.99,10.0
