Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
wiki,317K_nodes_1M_edges,triangle,3,1,0.00373004,0.0236488,608389,2.5726e+07,4400,1.00,100.0
wiki,317K_nodes_1M_edges,triangle,3,2,0.000534041,0.028509,608389,2.13403e+07,4224,.82,40.0
wiki,317K_nodes_1M_edges,triangle,3,4,0.000547792,0.0207063,608389,2.93818e+07,4208,1.14,20.0
wiki,317K_nodes_1M_edges,triangle,3,8,0.000534042,0.0189845,608389,3.20467e+07,4208,1.24,10.0
wiki,317K_nodes_1M_edges,triangle,3,16,0.000532542,0.0196663,608389,3.09356e+07,4240,1.20,0
wiki,317K_nodes_1M_edges,4path,4,1,0.00053,0.0189899,608389,3.20375e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4path,4,2,0.0005105,0.0206617,608389,2.94452e+07,4208,.91,40.0
wiki,317K_nodes_1M_edges,4path,4,4,0.000526416,0.0190676,608389,3.19069e+07,4256,.99,20.0
wiki,317K_nodes_1M_edges,4path,4,8,0.000535875,0.0213651,608389,2.84759e+07,4240,.88,10.0
wiki,317K_nodes_1M_edges,4path,4,16,0.000529333,0.0198043,608389,3.07201e+07,4224,.95,0
wiki,317K_nodes_1M_edges,4cycle,4,1,0.000546167,0.019807,608389,3.07159e+07,4192,1.00,100.0
wiki,317K_nodes_1M_edges,4cycle,4,2,0.000516625,0.0218798,608389,2.7806e+07,4224,.90,40.0
wiki,317K_nodes_1M_edges,4cycle,4,4,0.00051775,0.0193893,608389,3.13775e+07,4208,1.02,20.0
wiki,317K_nodes_1M_edges,4cycle,4,8,0.00052275,0.0234331,608389,2.59628e+07,4224,.84,10.0
wiki,317K_nodes_1M_edges,4cycle,4,16,0.000613417,0.0215071,608389,2.82878e+07,4240,.92,0
wiki,317K_nodes_1M_edges,4star,4,1,0.000529834,0.0195289,608389,3.11532e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4star,4,2,0.000525125,0.0197705,608389,3.07725e+07,4208,.98,40.0
wiki,317K_nodes_1M_edges,4star,4,4,0.000620292,0.02144,608389,2.83764e+07,4288,.91,20.0
wiki,317K_nodes_1M_edges,4star,4,8,0.000927167,0.0219651,608389,2.7698e+07,4368,.88,10.0
wiki,317K_nodes_1M_edges,4star,4,16,0.000624167,0.020067,608389,3.03179e+07,4224,.97,0
wiki,317K_nodes_1M_edges,4clique,4,1,0.000528625,0.0200181,608389,3.0392e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4clique,4,2,0.000544166,0.0207267,608389,2.93528e+07,4192,.96,40.0
wiki,317K_nodes_1M_edges,4clique,4,4,0.000529,0.0246653,608389,2.46658e+07,4240,.81,20.0
wiki,317K_nodes_1M_edges,4clique,4,8,0.000523792,0.0208827,608389,2.91336e+07,4176,.95,10.0
wiki,317K_nodes_1M_edges,4clique,4,16,0.000518542,0.0193394,608389,3.14585e+07,4224,1.03,0
wiki,317K_nodes_1M_edges,5clique,5,1,0.00052475,0.0203523,608389,2.98928e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,5clique,5,2,0.000559625,0.0204692,608389,2.97222e+07,4192,.99,40.0
wiki,317K_nodes_1M_edges,5clique,5,4,0.000528708,0.0196398,608389,3.09774e+07,4224,1.03,20.0
wiki,317K_nodes_1M_edges,5clique,5,8,0.000545958,0.0223201,608389,2.72575e+07,4208,.91,10.0
wiki,317K_nodes_1M_edges,5clique,5,16,FAILED,FAILED,0,0,0,0,0
wiki,317K_nodes_1M_edges,house,4,1,0.000525417,0.0197035,608389,3.08771e+07,4240,1.00,100.0
wiki,317K_nodes_1M_edges,house,4,2,0.000535792,0.0211309,608389,2.87914e+07,4624,.93,40.0
wiki,317K_nodes_1M_edges,house,4,4,0.000631125,0.0251699,608389,2.41713e+07,4224,.78,10.0
wiki,317K_nodes_1M_edges,house,4,8,0.000521834,0.0205322,608389,2.96309e+07,4240,.95,10.0
wiki,317K_nodes_1M_edges,house,4,16,0.000532375,0.0197914,608389,3.07401e+07,4192,.99,0
wiki,317K_nodes_1M_edges,diamond,4,1,0.000554833,0.0194427,608389,3.12914e+07,4320,1.00,100.0
wiki,317K_nodes_1M_edges,diamond,4,2,0.000519791,0.022142,608389,2.74766e+07,4176,.87,40.0
wiki,317K_nodes_1M_edges,diamond,4,4,0.000540792,0.019546,608389,3.11261e+07,4256,.99,20.0
wiki,317K_nodes_1M_edges,diamond,4,8,0.000521917,0.019613,608389,3.10196e+07,4224,.99,10.0
wiki,317K_nodes_1M_edges,diamond,4,16,0.000531666,0.0196468,608389,3.09663e+07,4160,.98,0
enron,317K_nodes_1M_edges,triangle,3,1,0.00680829,0.017672,727044,4.11409e+07,5568,1.00,100.0
enron,317K_nodes_1M_edges,triangle,3,2,0.000996334,0.0175468,727044,4.14346e+07,5520,1.00,50.0
enron,317K_nodes_1M_edges,triangle,3,4,0.00102271,0.0207277,727044,3.5076e+07,5520,.85,20.0
enron,317K_nodes_1M_edges,triangle,3,8,0.00102213,0.0185148,727044,3.92683e+07,5504,.95,10.0
enron,317K_nodes_1M_edges,triangle,3,16,0.0012585,0.0178713,727044,4.06821e+07,5664,.98,0
enron,317K_nodes_1M_edges,4path,4,1,0.00101529,0.017971,727044,4.04565e+07,5536,1.00,100.0
enron,317K_nodes_1M_edges,4path,4,2,0.00101025,0.0181097,727044,4.01466e+07,5520,.99,40.0
enron,317K_nodes_1M_edges,4path,4,4,0.00110996,0.0181331,727044,4.00949e+07,5520,.99,20.0
enron,317K_nodes_1M_edges,4path,4,8,0.00100217,0.0177845,727044,4.08808e+07,5568,1.01,10.0
enron,317K_nodes_1M_edges,4path,4,16,0.00104246,0.0181044,727044,4.01584e+07,5552,.99,0
enron,317K_nodes_1M_edges,4cycle,4,1,0.00102954,0.01865,727044,3.89835e+07,5520,1.00,100.0
enron,317K_nodes_1M_edges,4cycle,4,2,0.00130033,0.0185846,727044,3.91208e+07,5680,1.00,50.0
enron,317K_nodes_1M_edges,4cycle,4,4,FAILED,FAILED,0,0,0,0,0
enron,317K_nodes_1M_edges,4cycle,4,8,0.00114587,0.0176973,727044,4.10822e+07,5632,1.05,10.0
enron,317K_nodes_1M_edges,4cycle,4,16,0.00105333,0.0200055,727044,3.63423e+07,5504,.93,0
enron,317K_nodes_1M_edges,4star,4,1,0.00105317,0.0203391,727044,3.57462e+07,5680,1.00,100.0
enron,317K_nodes_1M_edges,4star,4,2,0.00104287,0.0216012,727044,3.36576e+07,5520,.94,40.0
enron,317K_nodes_1M_edges,4star,4,4,0.00101504,0.018988,727044,3.82897e+07,5520,1.07,20.0
enron,317K_nodes_1M_edges,4star,4,8,0.000997667,0.0215153,727044,3.3792e+07,5552,.94,10.0
enron,317K_nodes_1M_edges,4star,4,16,0.00102421,0.0180764,727044,4.02207e+07,5536,1.12,0
enron,317K_nodes_1M_edges,4clique,4,1,0.001025,0.0177393,727044,4.09849e+07,5536,1.00,100.0
enron,317K_nodes_1M_edges,4clique,4,2,0.00103029,0.0180285,727044,4.03276e+07,5552,.98,40.0
enron,317K_nodes_1M_edges,4clique,4,4,0.00102329,0.0179971,727044,4.03979e+07,5520,.98,20.0
enron,317K_nodes_1M_edges,4clique,4,8,0.000996625,0.0178281,727044,4.07808e+07,5536,.99,10.0
enron,317K_nodes_1M_edges,4clique,4,16,0.00103767,0.0176863,727044,4.11077e+07,5536,1.00,0
enron,317K_nodes_1M_edges,5clique,5,1,0.00107862,0.0188676,727044,3.85339e+07,5632,1.00,100.0
enron,317K_nodes_1M_edges,5clique,5,2,0.00580642,0.0203555,727044,3.57173e+07,5600,.92,40.0
enron,317K_nodes_1M_edges,5clique,5,4,0.000998708,0.017902,727044,4.06124e+07,5504,1.05,20.0
enron,317K_nodes_1M_edges,5clique,5,8,0.000984583,0.0205835,727044,3.53218e+07,5536,.91,10.0
enron,317K_nodes_1M_edges,5clique,5,16,0.00104608,0.017615,727044,4.12742e+07,5472,1.07,0
enron,317K_nodes_1M_edges,house,4,1,0.00103283,0.0172682,727044,4.2103e+07,5648,1.00,100.0
enron,317K_nodes_1M_edges,house,4,2,0.00116704,0.0176864,727044,4.11076e+07,5552,.97,40.0
enron,317K_nodes_1M_edges,house,4,4,0.00101096,0.0217267,727044,3.34631e+07,5552,.79,10.0
enron,317K_nodes_1M_edges,house,4,8,0.00104858,0.0200062,727044,3.6341e+07,5536,.86,10.0
enron,317K_nodes_1M_edges,house,4,16,0.00103146,0.0173872,727044,4.18148e+07,5488,.99,0
enron,317K_nodes_1M_edges,diamond,4,1,0.00123621,0.020549,727044,3.53811e+07,5680,1.00,100.0
enron,317K_nodes_1M_edges,diamond,4,2,0.000985333,0.0205848,727044,3.53194e+07,5552,.99,40.0
enron,317K_nodes_1M_edges,diamond,4,4,0.00194192,0.0205923,727044,3.53065e+07,5504,.99,20.0
enron,317K_nodes_1M_edges,diamond,4,8,0.00102933,0.0181272,727044,4.0108e+07,5520,1.13,10.0
enron,317K_nodes_1M_edges,diamond,4,16,0.00102758,0.0180917,727044,4.01866e+07,5520,1.13,0
dblp,317K_nodes_1M_edges,triangle,3,1,0.0197101,0.0486566,2224385,4.5716e+07,18928,1.00,100.0
dblp,317K_nodes_1M_edges,triangle,3,2,0.00633858,0.050081,2224385,4.44157e+07,18976,.97,40.0
dblp,317K_nodes_1M_edges,triangle,3,4,0.00651163,0.05056,2224385,4.3995e+07,18944,.96,20.0
dblp,317K_nodes_1M_edges,triangle,3,8,0.00624917,0.0502307,2224385,4.42833e+07,19024,.96,10.0
dblp,317K_nodes_1M_edges,triangle,3,16,0.006386,0.0490807,2224385,4.5321e+07,18992,.99,0
dblp,317K_nodes_1M_edges,4path,4,1,0.00613279,0.0494356,2224385,4.49956e+07,18848,1.00,100.0
dblp,317K_nodes_1M_edges,4path,4,2,0.00609767,0.0505113,2224385,4.40374e+07,18896,.97,40.0
dblp,317K_nodes_1M_edges,4path,4,4,0.00658121,0.0486873,2224385,4.56872e+07,18976,1.01,20.0
dblp,317K_nodes_1M_edges,4path,4,8,0.00620942,0.0496567,2224385,4.47953e+07,18848,.99,10.0
dblp,317K_nodes_1M_edges,4path,4,16,0.00641192,0.0490366,2224385,4.53617e+07,18960,1.00,0
dblp,317K_nodes_1M_edges,4cycle,4,1,0.00588733,0.049811,2224385,4.46565e+07,18896,1.00,100.0
dblp,317K_nodes_1M_edges,4cycle,4,2,0.00641767,0.0488008,2224385,4.55809e+07,18944,1.02,50.0
dblp,317K_nodes_1M_edges,4cycle,4,4,0.00630042,0.0505073,2224385,4.40408e+07,18928,.98,20.0
dblp,317K_nodes_1M_edges,4cycle,4,8,0.00602075,0.0548224,2224385,4.05744e+07,19008,.90,10.0
dblp,317K_nodes_1M_edges,4cycle,4,16,0.00785979,0.0538528,2224385,4.13049e+07,18976,.92,0
dblp,317K_nodes_1M_edges,4star,4,1,0.00592617,0.0517677,2224385,4.29686e+07,19040,1.00,100.0
dblp,317K_nodes_1M_edges,4star,4,2,0.00668513,0.0487403,2224385,4.56375e+07,19024,1.06,50.0
dblp,317K_nodes_1M_edges,4star,4,4,0.00632779,0.0508664,2224385,4.37299e+07,19040,1.01,20.0
dblp,317K_nodes_1M_edges,4star,4,8,0.00635442,0.0524593,2224385,4.24021e+07,18976,.98,10.0
dblp,317K_nodes_1M_edges,4star,4,16,0.00642021,0.0513527,2224385,4.33159e+07,18928,1.00,0
dblp,317K_nodes_1M_edges,4clique,4,1,0.00595658,0.0500298,2224385,4.44612e+07,18896,1.00,100.0
dblp,317K_nodes_1M_edges,4clique,4,2,0.00623367,0.0507663,2224385,4.38162e+07,18976,.98,40.0
dblp,317K_nodes_1M_edges,4clique,4,4,0.00619163,0.0531192,2224385,4.18754e+07,19008,.94,20.0
dblp,317K_nodes_1M_edges,4clique,4,8,0.0062395,0.0525914,2224385,4.22956e+07,18944,.95,10.0
dblp,317K_nodes_1M_edges,4clique,4,16,0.0117633,0.134232,2224385,1.65712e+07,19104,.37,0
dblp,317K_nodes_1M_edges,5clique,5,1,0.0104731,0.0555752,2224385,4.00247e+07,19008,1.00,100.0
dblp,317K_nodes_1M_edges,5clique,5,2,0.00638446,0.0522422,2224385,4.25783e+07,19008,1.06,50.0
dblp,317K_nodes_1M_edges,5clique,5,4,0.00648117,0.0487429,2224385,4.56351e+07,18992,1.14,20.0
dblp,317K_nodes_1M_edges,5clique,5,8,0.00640017,0.0540229,2224385,4.11749e+07,19024,1.02,10.0
dblp,317K_nodes_1M_edges,5clique,5,16,0.00661921,0.0541678,2224385,4.10647e+07,18944,1.02,0
dblp,317K_nodes_1M_edges,house,4,1,0.0060255,0.0540473,2224385,4.11562e+07,18864,1.00,100.0
dblp,317K_nodes_1M_edges,house,4,2,0.006535,0.0543612,2224385,4.09186e+07,19088,.99,40.0
dblp,317K_nodes_1M_edges,house,4,4,0.00672204,0.0541563,2224385,4.10735e+07,18976,.99,20.0
dblp,317K_nodes_1M_edges,house,4,8,0.00896942,0.0522493,2224385,4.25725e+07,18944,1.03,10.0
dblp,317K_nodes_1M_edges,house,4,16,0.00619492,0.0509369,2224385,4.36694e+07,18960,1.06,0
dblp,317K_nodes_1M_edges,diamond,4,1,0.00599938,0.0523641,2224385,4.24792e+07,18864,1.00,100.0
