Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,Patterns,small_dense_4v_1,4,4,1,0.0175359,4.7561,96615211,20.7,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,4,0.0197038,1.2871,96615211,21.3,3.69,92.2,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,16,0.019529,0.360212,96615211,22.4,13.20,82.5,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,32,0.0193435,0.20038,96615211,25.3,23.73,74.1,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,64,0.0189908,0.13926,96615211,32.1,34.15,53.3,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,1,0.0197347,4.78245,96615211,20.9,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,4,0.0194801,1.29042,96615211,21.4,3.70,92.5,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,16,0.0196348,0.358075,96615211,22.5,13.35,83.4,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,32,0.0188552,0.21516,96615211,26.6,22.22,69.4,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,64,0.0198977,0.136398,96615211,33.8,35.06,54.7,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,1,0.0195664,4.76605,96615211,20.8,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,4,0.0198987,1.28813,96615211,21.3,3.69,92.2,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,16,0.0191631,0.366659,96615211,22.5,12.99,81.1,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,32,0.0197423,0.199714,96615211,27.8,23.86,74.5,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,64,0.0191332,0.138446,96615211,33.3,34.42,53.7,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,1,0.0202177,1.1585,16713192,20.7,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,4,0.0197712,0.296288,16713192,21.3,3.91,97.7,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,16,0.0201213,0.0945223,16713192,22.5,12.25,76.5,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,32,0.0197919,0.0620692,16713192,24.0,18.66,58.3,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,64,0.0202035,0.0533115,16713192,27.3,21.73,33.9,SUCCESS,GraphMini-O  pattern worked!
