Dataset,PatternCategory,QueryFile,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
wiki,small_sparse,query_sparse_8_110.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_110.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_110.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_111.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_111.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_111.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_111.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_112.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_112.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_112.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_112.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_113.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_113.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_113.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_113.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
