Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,Patterns,small_dense_4v_1,4,4,1,0.0174806,4.76616,96615211,20.7,1.00,100.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,4,0.0177446,1.28803,96615211,21.4,3.70,92.5,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,16,0.0176758,0.355257,96615211,22.6,13.41,83.8,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,32,0.0176318,0.198149,96615211,24.2,24.05,75.1,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,64,0.017425,0.137288,96615211,33.5,34.71,54.2,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,1,0.016738,4.75224,96615211,20.7,1.00,100.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,4,0.0196756,1.28863,96615211,21.3,3.68,92.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,16,0.019087,0.362973,96615211,22.9,13.09,81.8,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,32,0.0164838,0.200962,96615211,27.9,23.64,73.8,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,64,0.0198326,0.139278,96615211,32.4,34.12,53.3,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,1,0.0200028,4.82924,96615211,20.9,1.00,100.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,4,0.0205331,1.28768,96615211,21.5,3.75,93.7,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,16,0.0196609,0.363267,96615211,22.5,13.29,83.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,32,0.0199059,0.209411,96615211,24.9,23.06,72.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,64,0.0200106,0.137822,96615211,28.2,35.03,54.7,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,1,0.0193274,1.1657,16713192,20.7,1.00,100.0,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,4,0.0194695,0.29885,16713192,21.2,3.90,97.5,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,16,0.0191496,0.0986234,16713192,22.6,11.81,73.8,SUCCESS,GraphMini-O pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,32,0.0201158,0.0631929,16713192,24.2,18.44,57.6,SUCCESS,GraphMini-O pattern worked!
