Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
wiki,317K_nodes_1M_edges,triangle,3,1,0.00329204,0.0205397,608389,2.96202e+07,4304,1.00,100.0
wiki,317K_nodes_1M_edges,triangle,3,2,0.000557458,0.0201951,608389,3.01256e+07,4192,1.01,50.0
wiki,317K_nodes_1M_edges,triangle,3,4,0.000686,0.020764,608389,2.93002e+07,4224,.98,20.0
wiki,317K_nodes_1M_edges,triangle,3,8,0.000597958,0.0228543,608389,2.66203e+07,4224,.89,10.0
wiki,317K_nodes_1M_edges,triangle,3,16,0.000693625,0.0244642,608389,2.48686e+07,4288,.83,0
wiki,317K_nodes_1M_edges,4path,4,1,0.000610333,0.0215212,608389,2.82693e+07,4272,1.00,100.0
wiki,317K_nodes_1M_edges,4path,4,2,0.000849625,0.0219721,608389,2.76891e+07,4304,.97,40.0
wiki,317K_nodes_1M_edges,4path,4,4,0.000873916,0.0229586,608389,2.64994e+07,4256,.93,20.0
wiki,317K_nodes_1M_edges,4path,4,8,0.000842958,0.0249673,608389,2.43674e+07,4224,.86,10.0
wiki,317K_nodes_1M_edges,4path,4,16,0.000857625,0.0243171,608389,2.5019e+07,4224,.88,0
wiki,317K_nodes_1M_edges,4cycle,4,1,0.000709792,0.0232891,608389,2.61234e+07,4320,1.00,100.0
wiki,317K_nodes_1M_edges,4cycle,4,2,0.000919958,0.0260293,608389,2.33733e+07,4256,.89,40.0
wiki,317K_nodes_1M_edges,4cycle,4,4,0.000834042,0.0318374,608389,1.91093e+07,4224,.73,10.0
wiki,317K_nodes_1M_edges,4cycle,4,8,0.000839458,0.0302283,608389,2.01265e+07,4256,.77,0
wiki,317K_nodes_1M_edges,4cycle,4,16,0.000866834,0.025622,608389,2.37448e+07,4256,.90,0
wiki,317K_nodes_1M_edges,4star,4,1,0.000856583,0.023299,608389,2.61123e+07,4272,1.00,100.0
wiki,317K_nodes_1M_edges,4star,4,2,0.000818375,0.0265676,608389,2.28996e+07,4208,.87,40.0
wiki,317K_nodes_1M_edges,4star,4,4,0.000855042,0.0402523,608389,1.51144e+07,4224,.57,10.0
wiki,317K_nodes_1M_edges,4star,4,8,0.00103363,0.034751,608389,1.75071e+07,4384,.67,0
wiki,317K_nodes_1M_edges,4star,4,16,0.000856833,0.0291927,608389,2.08404e+07,4256,.79,0
wiki,317K_nodes_1M_edges,4clique,4,1,0.000904792,0.0290325,608389,2.09555e+07,4272,1.00,100.0
wiki,317K_nodes_1M_edges,4clique,4,2,0.000825916,0.0268667,608389,2.26448e+07,4240,1.08,50.0
wiki,317K_nodes_1M_edges,4clique,4,4,0.000998917,0.0297817,608389,2.04283e+07,4288,.97,20.0
wiki,317K_nodes_1M_edges,4clique,4,8,0.000839375,0.0300449,608389,2.02493e+07,4208,.96,10.0
wiki,317K_nodes_1M_edges,4clique,4,16,0.000827541,0.0338997,608389,1.79468e+07,4208,.85,0
wiki,317K_nodes_1M_edges,5clique,5,1,0.000841084,0.0325127,608389,1.87123e+07,4256,1.00,100.0
wiki,317K_nodes_1M_edges,5clique,5,2,0.000834417,0.0365902,608389,1.66271e+07,4208,.88,40.0
wiki,317K_nodes_1M_edges,5clique,5,4,0.00086975,0.0282285,608389,2.15523e+07,4192,1.15,20.0
wiki,317K_nodes_1M_edges,5clique,5,8,0.000860209,0.0284085,608389,2.14157e+07,4208,1.14,10.0
wiki,317K_nodes_1M_edges,5clique,5,16,0.00108817,0.0292211,608389,2.08202e+07,4304,1.11,0
wiki,317K_nodes_1M_edges,house,4,1,0.000891167,0.0252683,608389,2.40771e+07,4240,1.00,100.0
wiki,317K_nodes_1M_edges,house,4,2,0.000825375,0.0250195,608389,2.43166e+07,4272,1.00,50.0
wiki,317K_nodes_1M_edges,house,4,4,0.000844875,0.0271441,608389,2.24133e+07,4272,.93,20.0
wiki,317K_nodes_1M_edges,house,4,8,0.000840042,0.0250881,608389,2.42501e+07,4208,1.00,10.0
wiki,317K_nodes_1M_edges,house,4,16,0.000813125,0.0254584,608389,2.38974e+07,4272,.99,0
wiki,317K_nodes_1M_edges,diamond,4,1,0.000810375,0.0270721,608389,2.24729e+07,4240,1.00,100.0
wiki,317K_nodes_1M_edges,diamond,4,2,0.000830333,0.0255622,608389,2.38003e+07,4208,1.05,50.0
wiki,317K_nodes_1M_edges,diamond,4,4,0.000886542,0.0247872,608389,2.45445e+07,4176,1.09,20.0
wiki,317K_nodes_1M_edges,diamond,4,8,0.000859292,0.0607325,608389,1.00175e+07,4224,.44,0
wiki,317K_nodes_1M_edges,diamond,4,16,0.00084825,0.02707,608389,2.24747e+07,4304,1.00,0
enron,317K_nodes_1M_edges,triangle,3,1,0.00844029,0.0225683,727044,3.22152e+07,5648,1.00,100.0
enron,317K_nodes_1M_edges,triangle,3,2,0.00159329,0.0236154,727044,3.07869e+07,5520,.95,40.0
enron,317K_nodes_1M_edges,triangle,3,4,0.00160563,0.0218146,727044,3.33283e+07,5552,1.03,20.0
enron,317K_nodes_1M_edges,triangle,3,8,0.00160271,0.0233659,727044,3.11156e+07,5504,.96,10.0
enron,317K_nodes_1M_edges,triangle,3,16,0.00157313,0.0226451,727044,3.2106e+07,5488,.99,0
enron,317K_nodes_1M_edges,4path,4,1,0.00163446,0.0233059,727044,3.11957e+07,5552,1.00,100.0
enron,317K_nodes_1M_edges,4path,4,2,0.00172733,0.0225005,727044,3.23123e+07,5760,1.03,50.0
enron,317K_nodes_1M_edges,4path,4,4,0.0021525,0.023775,727044,3.05802e+07,5536,.98,20.0
