Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.000572584,0.0178177,608389,3.41453e+07,4272.0,1.000,100.00,0.0178177,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000542917,0.0184095,608389,3.30476e+07,4256.0,.9678,48.300,0.0178177,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000551208,0.0165468,608389,3.67677e+07,4176.0,1.0768,26.900,0.0178177,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.00057675,0.0185591,608389,3.27812e+07,4224.0,.9600,12.000,0.0178177,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000529791,0.0188229,608389,3.23218e+07,4256.0,.9465,5.900,0.0178177,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.0005215,0.017635,608389,3.4499e+07,4208.0,1.000,100.00,0.017635,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000533375,0.017399,608389,3.4967e+07,4224.0,1.0135,50.600,0.017635,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.00059625,0.0187944,608389,3.23707e+07,4272.0,.9383,23.400,0.017635,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000586541,0.0182396,608389,3.33554e+07,4192.0,.9668,12.000,0.017635,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000797666,0.0221574,608389,2.74576e+07,4336.0,.7958,4.900,0.017635,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000643917,0.0193625,608389,3.14211e+07,4272.0,1.000,100.00,0.0193625,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000585333,0.0187606,608389,3.24291e+07,4224.0,1.0320,51.600,0.0193625,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000595917,0.0188918,608389,3.22038e+07,4192.0,1.0249,25.600,0.0193625,calculated
