Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00593775,0.109292,608389,5.56663e+06,3952.0,1.000,100.00,0.109292,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00111233,0.0542375,608389,1.12171e+07,4048.0,2.0150,100.700,0.109292,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.00201221,0.0365953,608389,1.66248e+07,4304.0,2.9865,74.600,0.109292,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.00194629,0.0235103,608389,2.58775e+07,4592.0,4.6486,58.100,0.109292,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.00165283,0.0215456,608389,2.82373e+07,4576.0,5.0725,31.700,0.109292,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00359817,10.5408,32230662,3.05771e+06,4064.0,1.000,100.00,10.5408,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00480504,5.3531,32230662,6.02094e+06,4176.0,1.9691,98.400,10.5408,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.002116,3.219,32230662,1.00126e+07,4528.0,3.2745,81.800,10.5408,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00120921,3.76863,32230662,8.55236e+06,5072.0,2.7969,34.900,10.5408,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.00100242,2.70956,32230662,1.18951e+07,5216.0,3.8902,24.300,10.5408,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.00118346,1.34866,6233709,4.62216e+06,4992.0,1.000,100.00,1.34866,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00101962,0.670914,6233709,9.29138e+06,5408.0,2.0101,100.500,1.34866,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.001173,0.493578,6233709,1.26296e+07,6752.0,2.7324,68.300,1.34866,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.00108967,0.31657,6233709,1.96914e+07,8752.0,4.2602,53.200,1.34866,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00105871,0.365432,6233709,1.70585e+07,8560.0,3.6905,23.000,1.34866,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00103587,18.1346,1127174796,6.21561e+07,4496.0,1.000,100.00,18.1346,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.00547813,8.93413,1127174796,1.26165e+08,5168.0,2.0298,101.400,18.1346,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.00112896,4.74855,1127174796,2.37372e+08,6032.0,3.8189,95.400,18.1346,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00176008,4.03904,1127174796,2.7907e+08,7232.0,4.4898,56.100,18.1346,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.003736,5.03972,1127174796,2.23658e+08,7360.0,3.5983,22.400,18.1346,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.00105492,0.376126,2077903,5.52449e+06,4432.0,1.000,100.00,0.376126,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00194371,0.194635,2077903,1.06759e+07,4704.0,1.9324,96.600,0.376126,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.0019385,0.101675,2077903,2.04368e+07,5232.0,3.6992,92.400,0.376126,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.00184708,0.0660403,2077903,3.14642e+07,6128.0,5.6954,71.100,0.376126,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00196825,0.0653073,2077903,3.18173e+07,6160.0,5.7593,35.900,0.376126,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.00154758,0.999434,4514137,4.5167e+06,4464.0,1.000,100.00,0.999434,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.00185767,0.504002,4514137,8.95659e+06,4688.0,1.9829,99.100,0.999434,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.00112183,0.251278,4514137,1.79647e+07,5168.0,3.9774,99.400,0.999434,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.00197917,0.170016,4514137,2.65512e+07,6320.0,5.8784,73.400,0.999434,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.00136221,0.16006,4514137,2.82028e+07,6352.0,6.2441,39.000,0.999434,calculated
wiki,7K_nodes_100K_edges,house,5,1,0.00195188,170.707,1527784701,8.94974e+06,5184.0,1.000,100.00,170.707,baseline
wiki,7K_nodes_100K_edges,house,5,2,0.00765787,96.4534,1527784701,1.58396e+07,5984.0,1.7698,88.400,170.707,calculated
wiki,7K_nodes_100K_edges,house,5,4,FAILED,FAILED,0,0,0,FAILED,FAILED,170.707,test_failed
wiki,7K_nodes_100K_edges,house,5,8,0.00532337,53.3514,1527784701,2.86363e+07,9696.0,3.1996,39.900,170.707,calculated
wiki,7K_nodes_100K_edges,house,5,16,0.00584537,51.6739,1527784701,2.95659e+07,10144.0,3.3035,20.600,170.707,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.0125925,0.426905,2077903,4.86736e+06,4656.0,1.000,100.00,0.426905,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.00366392,1.80718,2077903,1.1498e+06,4768.0,.2362,11.800,0.426905,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.00672837,0.61612,2077903,3.37256e+06,5264.0,.6928,17.300,0.426905,calculated
