Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00454092,0.0284962,608389,2.13498e+07,4416.0,1.000,100.00,0.0284962,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00104183,0.0343434,608389,1.77149e+07,4320.0,.8297,41.400,0.0284962,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000985583,0.0238188,608389,2.55424e+07,4240.0,1.1963,29.900,0.0284962,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000688709,0.021065,608389,2.88815e+07,4240.0,1.3527,16.900,0.0284962,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.00187271,0.0257833,608389,2.35962e+07,4272.0,1.1052,6.900,0.0284962,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00108842,5.66183,32230662,5.69262e+06,4656.0,1.000,100.00,5.66183,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000824334,5.90192,32230662,5.46105e+06,4704.0,.9593,47.900,5.66183,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.0010065,4.44458,32230662,7.25168e+06,4656.0,1.2738,31.800,5.66183,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000929417,6.07797,32230662,5.30287e+06,4592.0,.9315,11.600,5.66183,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.00105142,3.67903,32230662,8.76063e+06,4592.0,1.5389,9.600,5.66183,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000986666,0.440803,6233709,1.41417e+07,8144.0,1.000,100.00,0.440803,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000999792,0.403792,6233709,1.54379e+07,8480.0,1.0916,54.500,0.440803,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.00101925,0.508335,6233709,1.2263e+07,8336.0,.8671,21.600,0.440803,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.00101192,0.46541,6233709,1.3394e+07,8464.0,.9471,11.800,0.440803,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00102654,0.432092,6233709,1.44268e+07,8304.0,1.0201,6.300,0.440803,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00109462,5.0115,1127174796,2.24918e+08,6672.0,1.000,100.00,5.0115,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000806,6.23383,1127174796,1.80816e+08,7008.0,.8039,40.100,5.0115,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000994833,5.74953,1127174796,1.96046e+08,6896.0,.8716,21.700,5.0115,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000995917,5.59032,1127174796,2.0163e+08,7024.0,.8964,11.200,5.0115,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000974625,5.16552,1127174796,2.18211e+08,6768.0,.9701,6.000,5.0115,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000996375,0.0744362,2077903,2.79152e+07,5792.0,1.000,100.00,0.0744362,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000974791,0.0719158,2077903,2.88936e+07,5760.0,1.0350,51.700,0.0744362,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.00098325,0.0729286,2077903,2.84923e+07,5536.0,1.0206,25.500,0.0744362,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000959375,0.0714852,2077903,2.90676e+07,5776.0,1.0412,13.000,0.0744362,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000992916,0.0708718,2077903,2.93192e+07,5712.0,1.0502,6.500,0.0744362,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.00102429,0.205457,4514137,2.19712e+07,5856.0,1.000,100.00,0.205457,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.00117875,0.210321,4514137,2.14631e+07,6000.0,.9768,48.800,0.205457,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000970375,0.214099,4514137,2.10843e+07,5888.0,.9596,23.900,0.205457,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.000989542,0.215866,4514137,2.09117e+07,5984.0,.9517,11.800,0.205457,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.000975209,0.21139,4514137,2.13546e+07,5920.0,.9719,6.000,0.205457,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000877875,0.240801,4514137,1.87463e+07,5984.0,1.000,100.00,0.240801,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.001,0.271571,4514137,1.66223e+07,5968.0,.8866,44.300,0.240801,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.00100183,0.270026,4514137,1.67174e+07,5936.0,.8917,22.200,0.240801,calculated
wiki,7K_nodes_100K_edges,house,4,8,0.00106142,0.267063,4514137,1.69029e+07,5952.0,.9016,11.200,0.240801,calculated
wiki,7K_nodes_100K_edges,house,4,16,0.000984292,0.294936,4514137,1.53055e+07,5904.0,.8164,5.100,0.240801,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.00102379,0.275235,4514137,1.6401e+07,5984.0,1.000,100.00,0.275235,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.00101096,0.278965,4514137,1.61818e+07,5968.0,.9866,49.300,0.275235,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.000993792,0.273952,4514137,1.64778e+07,5968.0,1.0046,25.100,0.275235,calculated
wiki,7K_nodes_100K_edges,diamond,4,8,0.0010185,0.268793,4514137,1.67941e+07,5968.0,1.0239,12.700,0.275235,calculated
wiki,7K_nodes_100K_edges,diamond,4,16,0.000994042,0.289851,4514137,1.5574e+07,5872.0,.9495,5.900,0.275235,calculated
enron,37K_nodes_184K_edges,triangle,3,1,0.00662142,0.0173367,727044,4.19367e+07,5648.0,1.000,100.00,0.0173367,baseline
enron,37K_nodes_184K_edges,triangle,3,2,0.00200979,0.0234424,727044,3.10141e+07,5584.0,.7395,36.900,0.0173367,calculated
enron,37K_nodes_184K_edges,triangle,3,4,0.00152588,0.0294868,727044,2.46566e+07,5552.0,.5879,14.600,0.0173367,calculated
enron,37K_nodes_184K_edges,triangle,3,8,0.00233796,0.0255178,727044,2.84916e+07,5664.0,.6793,8.400,0.0173367,calculated
