Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
wiki,317K_nodes_1M_edges,triangle,3,1,0.00390229,0.0171645,608389,3.54446e+07,4272,1.00,100.0
wiki,317K_nodes_1M_edges,triangle,3,2,0.000532292,0.0458612,608389,1.32659e+07,4336,.37,10.0
wiki,317K_nodes_1M_edges,triangle,3,4,0.000583166,0.0186102,608389,3.26912e+07,4208,.92,20.0
wiki,317K_nodes_1M_edges,triangle,3,8,0.000540792,0.0172102,608389,3.53504e+07,4224,.99,10.0
wiki,317K_nodes_1M_edges,triangle,3,16,0.000564667,0.0170898,608389,3.55995e+07,4224,1.00,0
wiki,317K_nodes_1M_edges,4path,4,1,0.000544708,0.0185151,608389,3.28591e+07,4160,1.00,100.0
wiki,317K_nodes_1M_edges,4path,4,2,0.000521417,0.0181788,608389,3.34669e+07,4320,1.01,50.0
wiki,317K_nodes_1M_edges,4path,4,4,0.000525333,0.0171081,608389,3.55614e+07,4224,1.08,20.0
wiki,317K_nodes_1M_edges,4path,4,8,0.000527042,0.0167584,608389,3.63035e+07,4176,1.10,10.0
wiki,317K_nodes_1M_edges,4path,4,16,0.000582667,0.0211552,608389,2.87584e+07,4224,.87,0
wiki,317K_nodes_1M_edges,4cycle,4,1,0.000586667,0.0184669,608389,3.29448e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4cycle,4,2,0.0005995,0.0196648,608389,3.0938e+07,4192,.93,40.0
wiki,317K_nodes_1M_edges,4cycle,4,4,0.000634375,0.0188867,608389,3.22125e+07,4256,.97,20.0
wiki,317K_nodes_1M_edges,4cycle,4,8,0.0005935,0.0177359,608389,3.43027e+07,4192,1.04,10.0
wiki,317K_nodes_1M_edges,4cycle,4,16,0.000614875,0.0188959,608389,3.21968e+07,4224,.97,0
wiki,317K_nodes_1M_edges,4star,4,1,0.000601417,0.018958,608389,3.20914e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,4star,4,2,0.000579667,0.0205151,608389,2.96556e+07,4224,.92,40.0
