Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00366121,0.0314827,608389,1.93245e+07,4304.0,1.000,100.00,0.0314827,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00102571,0.024983,608389,2.43522e+07,4304.0,1.2601,63.000,0.0314827,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000978666,0.02347,608389,2.5922e+07,4240.0,1.3414,33.500,0.0314827,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000934,0.0240716,608389,2.52742e+07,4272.0,1.3078,16.300,0.0314827,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000986292,0.025569,608389,2.3794e+07,4208.0,1.2312,7.600,0.0314827,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000993875,2.78901,32230662,1.15563e+07,4736.0,1.000,100.00,2.78901,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00104754,2.71392,32230662,1.18761e+07,4688.0,1.0276,51.300,2.78901,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.00103179,2.20811,32230662,1.45965e+07,4752.0,1.2630,31.500,2.78901,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000831458,2.22441,32230662,1.44896e+07,4816.0,1.2538,15.600,2.78901,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.00142054,2.86758,32230662,1.12397e+07,4720.0,.9726,6.000,2.78901,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.00100146,2.50162,32230662,1.28839e+07,4656.0,1.000,100.00,2.50162,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00110521,2.28409,32230662,1.4111e+07,4736.0,1.0952,54.700,2.50162,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000976333,3.65074,32230662,8.82853e+06,4592.0,.6852,17.100,2.50162,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.0008365,6.14073,32230662,5.24867e+06,4688.0,.4073,5.000,2.50162,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00102625,4.90938,32230662,6.56512e+06,4656.0,.5095,3.100,2.50162,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00100521,6.69196,1127174796,1.68437e+08,6144.0,1.000,100.00,6.69196,baseline
wiki,7K_nodes_100K_edges,4star,4,2,FAILED,FAILED,0,0,0,FAILED,FAILED,6.69196,test_failed
wiki,7K_nodes_100K_edges,4star,4,4,0.000860041,5.98498,1127174796,1.88334e+08,6880.0,1.1181,27.900,6.69196,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00100183,13.1067,1127174796,8.60001e+07,6320.0,.5105,6.300,6.69196,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.00394417,5.59875,1127174796,2.01326e+08,6816.0,1.1952,7.400,6.69196,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.00228862,0.0728013,2077903,2.85421e+07,5776.0,1.000,100.00,0.0728013,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000911,0.0905311,2077903,2.29524e+07,5664.0,.8041,40.200,0.0728013,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000966542,0.104174,2077903,1.99464e+07,5568.0,.6988,17.400,0.0728013,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000574084,0.0761992,2077903,2.72694e+07,5776.0,.9554,11.900,0.0728013,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000975417,0.0770282,2077903,2.69759e+07,5632.0,.9451,5.900,0.0728013,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000864292,0.260676,4514137,1.73171e+07,5952.0,1.000,100.00,0.260676,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000968541,0.247283,4514137,1.8255e+07,5872.0,1.0541,52.700,0.260676,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000968334,0.22315,4514137,2.02291e+07,5984.0,1.1681,29.200,0.260676,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.000961625,0.213893,4514137,2.11047e+07,5968.0,1.2187,15.200,0.260676,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.00100242,0.28292,4514137,1.59555e+07,5872.0,.9213,5.700,0.260676,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000986708,0.339825,4514137,1.32837e+07,5920.0,1.000,100.00,0.339825,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.00085575,0.320287,4514137,1.4094e+07,5920.0,1.0610,53.000,0.339825,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.000962666,0.30666,4514137,1.47203e+07,5936.0,1.1081,27.700,0.339825,calculated
wiki,7K_nodes_100K_edges,house,4,8,0.000982417,0.296183,4514137,1.5241e+07,5856.0,1.1473,14.300,0.339825,calculated
