Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00315067,0.016893,608389,3.60143e+07,4208.0,1.000,100.00,0.016893,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000528917,0.0169034,608389,3.59922e+07,4224.0,.9993,49.900,0.016893,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000516834,0.0171217,608389,3.55332e+07,4160.0,.9866,24.600,0.016893,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000603084,0.0208036,608389,2.92444e+07,4224.0,.8120,10.100,0.016893,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000599042,0.0199695,608389,3.04658e+07,4272.0,.8459,5.200,0.016893,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000616458,0.0175476,608389,3.46707e+07,4176.0,1.000,100.00,0.0175476,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000591542,0.0174412,608389,3.48823e+07,4224.0,1.0061,50.300,0.0175476,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.0006305,0.0206874,608389,2.94087e+07,4240.0,.8482,21.200,0.0175476,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000611292,0.0182649,608389,3.33092e+07,4160.0,.9607,12.000,0.0175476,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000596625,0.01806,608389,3.3687e+07,4224.0,.9716,6.000,0.0175476,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000594459,0.0187039,608389,3.25274e+07,4240.0,1.000,100.00,0.0187039,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000595833,0.020508,608389,2.96659e+07,4240.0,.9120,45.600,0.0187039,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000729625,0.02008,608389,3.02983e+07,4208.0,.9314,23.200,0.0187039,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000996125,0.0195521,608389,3.11163e+07,4336.0,.9566,11.900,0.0187039,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000725625,0.0232028,608389,2.62205e+07,4272.0,.8061,5.000,0.0187039,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.000689291,0.0208176,608389,2.92247e+07,4192.0,1.000,100.00,0.0208176,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000751375,0.0224671,608389,2.70791e+07,4288.0,.9265,46.300,0.0208176,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000707792,0.0208415,608389,2.91912e+07,4304.0,.9988,24.900,0.0208176,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000738042,0.0216415,608389,2.81121e+07,4304.0,.9619,12.000,0.0208176,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000800666,0.0212431,608389,2.86393e+07,4240.0,.9799,6.100,0.0208176,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000706875,0.0232897,608389,2.61227e+07,4256.0,1.000,100.00,0.0232897,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000779458,0.0192476,608389,3.16086e+07,4336.0,1.2100,60.500,0.0232897,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000742291,0.0209898,608389,2.89849e+07,4240.0,1.1095,27.700,0.0232897,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000678417,0.0203245,608389,2.99338e+07,4192.0,1.1458,14.300,0.0232897,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00108662,0.0198244,608389,3.06889e+07,4272.0,1.1747,7.300,0.0232897,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000683792,0.0209477,608389,2.90433e+07,4224.0,1.000,100.00,0.0209477,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.00101304,0.0207579,608389,2.93088e+07,4384.0,1.0091,50.400,0.0209477,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.0010415,0.0196348,608389,3.09853e+07,4304.0,1.0668,26.600,0.0209477,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.000694458,0.0210833,608389,2.88564e+07,4288.0,.9935,12.400,0.0209477,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.000681083,0.0190577,608389,3.19235e+07,4192.0,1.0991,6.800,0.0209477,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000697583,0.0196035,608389,3.10346e+07,4176.0,1.000,100.00,0.0196035,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.000732084,0.0193455,608389,3.14487e+07,4256.0,1.0133,50.600,0.0196035,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.000782541,0.0209676,608389,2.90156e+07,4272.0,.9349,23.300,0.0196035,calculated
