Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00408546,0.0239553,608389,2.53969e+07,4400.0,1.000,100.00,0.0239553,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000536792,0.0194269,608389,3.13168e+07,4160.0,1.2330,61.600,0.0239553,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000620625,0.0211403,608389,2.87786e+07,4608.0,1.1331,28.300,0.0239553,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000625125,0.0214325,608389,2.83863e+07,4256.0,1.1177,13.900,0.0239553,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000614166,0.0209632,608389,2.90218e+07,4240.0,1.1427,7.100,0.0239553,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00087725,0.0225617,608389,2.69656e+07,4400.0,1.000,100.00,0.0225617,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000611875,0.0227472,608389,2.67457e+07,4192.0,.9918,49.500,0.0225617,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000704459,0.0259128,608389,2.34783e+07,4272.0,.8706,21.700,0.0225617,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000801208,0.0232033,608389,2.622e+07,4224.0,.9723,12.100,0.0225617,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000841166,0.0361246,608389,1.68414e+07,4240.0,.6245,3.900,0.0225617,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000830417,0.0229866,608389,2.64671e+07,4192.0,1.000,100.00,0.0229866,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000820958,0.02544,608389,2.39147e+07,4192.0,.9035,45.100,0.0229866,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000832916,0.0252033,608389,2.41392e+07,4208.0,.9120,22.800,0.0229866,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000718958,0.02472,608389,2.46112e+07,4208.0,.9298,11.600,0.0229866,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000693709,0.0270174,608389,2.25184e+07,4256.0,.8508,5.300,0.0229866,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.000845542,0.0284131,608389,2.14123e+07,4208.0,1.000,100.00,0.0284131,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000855291,0.0278472,608389,2.18474e+07,4256.0,1.0203,51.000,0.0284131,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000843375,0.0254742,608389,2.38825e+07,4208.0,1.1153,27.800,0.0284131,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000835791,0.0294843,608389,2.06343e+07,4208.0,.9636,12.000,0.0284131,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000936375,0.0306967,608389,1.98194e+07,4304.0,.9256,5.700,0.0284131,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000837417,0.0269439,608389,2.25798e+07,4256.0,1.000,100.00,0.0269439,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000860209,0.0255505,608389,2.38113e+07,4192.0,1.0545,52.700,0.0269439,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000861125,0.0279691,608389,2.17522e+07,4288.0,.9633,24.000,0.0269439,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000943833,0.0257927,608389,2.35876e+07,4240.0,1.0446,13.000,0.0269439,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000845875,0.026346,608389,2.30923e+07,4208.0,1.0226,6.300,0.0269439,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.0008755,0.0263284,608389,2.31077e+07,4272.0,1.000,100.00,0.0263284,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000828458,0.0256043,608389,2.37612e+07,4240.0,1.0282,51.400,0.0263284,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000875375,0.025102,608389,2.42366e+07,4224.0,1.0488,26.200,0.0263284,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.000851833,0.0266122,608389,2.28613e+07,4240.0,.9893,12.300,0.0263284,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.000966125,0.0247205,608389,2.46107e+07,4272.0,1.0650,6.600,0.0263284,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.00084625,0.0238543,608389,2.55043e+07,4208.0,1.000,100.00,0.0238543,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.000835583,0.0236702,608389,2.57028e+07,4224.0,1.0077,50.300,0.0238543,calculated
