Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00376208,0.0174215,608389,3.49218e+07,4176.0,1.000,100.00,0.0174215,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000580666,0.0168933,608389,3.60136e+07,4240.0,1.0312,51.500,0.0174215,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000516375,0.0189759,608389,3.20612e+07,4176.0,.9180,22.900,0.0174215,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000540709,0.0186063,608389,3.2698e+07,4160.0,.9363,11.700,0.0174215,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000806542,0.0172755,608389,3.52169e+07,4336.0,1.0084,6.300,0.0174215,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000654375,0.020119,608389,3.02395e+07,4208.0,1.000,100.00,0.020119,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000607917,0.0199789,608389,3.04516e+07,4240.0,1.0070,50.300,0.020119,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000613208,0.0226689,608389,2.68381e+07,4320.0,.8875,22.100,0.020119,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000582417,0.0191499,608389,3.17699e+07,4208.0,1.0506,13.100,0.020119,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000588833,0.0205015,608389,2.96754e+07,4368.0,.9813,6.100,0.020119,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000622875,0.0199091,608389,3.05584e+07,4224.0,1.000,100.00,0.0199091,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000628042,0.020491,608389,2.96905e+07,4176.0,.9716,48.500,0.0199091,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000783791,0.0204751,608389,2.97136e+07,4352.0,.9723,24.300,0.0199091,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.00072975,0.0278432,608389,2.18505e+07,4288.0,.7150,8.900,0.0199091,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000744041,0.0230877,608389,2.63513e+07,4208.0,.8623,5.300,0.0199091,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.000851208,0.0265143,608389,2.29457e+07,4272.0,1.000,100.00,0.0265143,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000848708,0.0320362,608389,1.89907e+07,4256.0,.8276,41.300,0.0265143,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.00105354,0.0337307,608389,1.80367e+07,4240.0,.7860,19.600,0.0265143,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000870167,0.0300067,608389,2.02751e+07,4224.0,.8836,11.000,0.0265143,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000885583,0.0298401,608389,2.03883e+07,4176.0,.8885,5.500,0.0265143,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000841041,0.0262493,608389,2.31773e+07,4256.0,1.000,100.00,0.0262493,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00083275,0.024485,608389,2.48474e+07,4192.0,1.0720,53.600,0.0262493,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000853,0.0340235,608389,1.78814e+07,4240.0,.7715,19.200,0.0262493,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000781834,0.0468998,608389,1.29721e+07,4272.0,.5596,6.900,0.0262493,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00105183,0.0567402,608389,1.07224e+07,4224.0,.4626,2.800,0.0262493,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000860959,0.0307303,608389,1.97977e+07,4240.0,1.000,100.00,0.0307303,baseline
