Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
roadNet-CA,Patterns,small_dense_4v_1,4,3,1,0.0598161,2.13983,10746270,71.5,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,4,0.0575871,0.551782,10746270,71.6,3.87,96.7,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,16,0.0594906,0.160041,10746270,72.2,13.37,83.5,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,32,0.0595737,0.0944132,10746270,73.0,22.66,70.8,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,64,0.0608286,0.072033,10746270,74.6,29.70,46.4,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_sparse_4v_1,4,3,1,0.0595913,2.07452,10746270,71.6,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_sparse_4v_1,4,3,4,0.0593389,0.519576,10746270,71.8,3.99,99.7,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_sparse_4v_1,4,3,16,0.0570369,0.157938,10746270,72.2,13.13,82.0,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_sparse_4v_1,4,3,32,0.0609253,0.0968839,10746270,73.1,21.41,66.9,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_sparse_4v_1,4,3,64,0.0615407,0.0725459,10746270,74.5,28.59,44.6,SUCCESS,GraphMini-O  pattern worked!
roadNet-CA,Patterns,small_dense_8v_1,8,10,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
roadNet-CA,Patterns,small_sparse_8v_1,8,9,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
