Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
enron,317K_nodes_1M_edges,4path,4,4,0.00204937,0.0474816,727044,1.53121e+07,5648,1.73,40.0
enron,317K_nodes_1M_edges,4path,4,8,0.00177908,0.0360545,727044,2.01652e+07,5616,2.28,20.0
enron,317K_nodes_1M_edges,4path,4,16,0.00207938,0.0355925,727044,2.04269e+07,5520,2.31,10.0
enron,317K_nodes_1M_edges,4cycle,4,1,0.00202779,0.0349275,727044,2.08158e+07,5488,1.00,100.0
enron,317K_nodes_1M_edges,4cycle,4,2,0.00753796,0.0442842,727044,1.64177e+07,5520,.78,30.0
enron,317K_nodes_1M_edges,4cycle,4,4,0.0105148,0.0534295,727044,1.36075e+07,5552,.65,10.0
enron,317K_nodes_1M_edges,4cycle,4,8,0.00506604,0.0371935,727044,1.95476e+07,5712,.93,10.0
enron,317K_nodes_1M_edges,4cycle,4,16,0.00211746,0.0329952,727044,2.20348e+07,5584,1.05,0
enron,317K_nodes_1M_edges,4star,4,1,0.00217471,0.0279231,727044,2.60373e+07,5504,1.00,100.0
enron,317K_nodes_1M_edges,4star,4,2,0.00221479,0.0256402,727044,2.83556e+07,5776,1.08,50.0
enron,317K_nodes_1M_edges,4star,4,4,0.00208837,0.028187,727044,2.57936e+07,5680,.99,20.0
enron,317K_nodes_1M_edges,4star,4,8,0.00788725,0.0351093,727044,2.0708e+07,5728,.79,0
enron,317K_nodes_1M_edges,4star,4,16,0.009729,0.0263376,727044,2.76048e+07,5552,1.06,0
enron,317K_nodes_1M_edges,4clique,4,1,0.00163346,0.0309292,727044,2.35067e+07,5520,1.00,100.0
enron,317K_nodes_1M_edges,4clique,4,2,0.00244521,0.0270802,727044,2.68478e+07,5712,1.14,50.0
enron,317K_nodes_1M_edges,4clique,4,4,0.00676263,0.0316848,727044,2.29461e+07,5616,.97,20.0
enron,317K_nodes_1M_edges,4clique,4,8,0.00739862,0.0297133,727044,2.44686e+07,5520,1.04,10.0
enron,317K_nodes_1M_edges,4clique,4,16,0.00547638,0.0276564,727044,2.62885e+07,5600,1.11,0
enron,317K_nodes_1M_edges,5clique,5,1,0.00201708,0.0234688,727044,3.09792e+07,5536,1.00,100.0
enron,317K_nodes_1M_edges,5clique,5,2,0.00158108,0.0263155,727044,2.7628e+07,5520,.89,40.0
enron,317K_nodes_1M_edges,5clique,5,4,0.00161988,0.0296574,727044,2.45147e+07,5536,.79,10.0
enron,317K_nodes_1M_edges,5clique,5,8,0.00225942,0.0266791,727044,2.72515e+07,5536,.87,10.0
enron,317K_nodes_1M_edges,5clique,5,16,0.00276617,0.0337333,727044,2.15527e+07,5760,.69,0
enron,317K_nodes_1M_edges,house,4,1,0.00168863,0.0368218,727044,1.97449e+07,5520,1.00,100.0
enron,317K_nodes_1M_edges,house,4,2,0.00177296,0.034496,727044,2.10762e+07,5520,1.06,50.0
enron,317K_nodes_1M_edges,house,4,4,0.00305996,0.034309,727044,2.11911e+07,5520,1.07,20.0
enron,317K_nodes_1M_edges,house,4,8,0.00795888,0.0447161,727044,1.62591e+07,5808,.82,10.0
enron,317K_nodes_1M_edges,house,4,16,0.0016755,0.0273778,727044,2.65559e+07,5584,1.34,0
enron,317K_nodes_1M_edges,diamond,4,1,0.00425054,0.0280544,727044,2.59155e+07,5552,1.00,100.0
enron,317K_nodes_1M_edges,diamond,4,2,0.00163692,0.0308544,727044,2.35637e+07,5520,.90,40.0
enron,317K_nodes_1M_edges,diamond,4,4,0.0019865,0.032666,727044,2.22569e+07,5600,.85,20.0
enron,317K_nodes_1M_edges,diamond,4,8,0.00251412,0.027124,727044,2.68044e+07,5504,1.03,10.0
enron,317K_nodes_1M_edges,diamond,4,16,0.00180854,0.0273292,727044,2.66031e+07,5568,1.02,0
